句子,关键词位置,原始关键词,对立关键词
女博士被骗85万，“单纯”可笑吗？,"[1, 2]",女,男
另外，在女干部选用过程中，既坚持标准，不降低要求或片面追求比例，又注重结合实际，不求全责备，在条件相当的情况下，适当倾斜，优先选拔。,"[4, 5]",女,男
7个女人带着对新的一年的憧憬再次钻进车库，试穿后，竟然无一人合适。,"[2, 4]",女,男
“25岁以上的女人就像圣诞节后打五折的蛋糕”，这句话曾在韩国风靡一时。,"[7, 9]",女,男
“马云背后的女人”又开始兴冲冲地储备购物车。,"[25, 27]",女,男
“素颜老铁”是指两个女人的关系好到可以素颜相见。,"[10, 12]",女,男
“痛经”这俩字，很多女人都不陌生。,"[10, 12]",女,男
“一个不睡觉的中国女人”，是瑞典同行对这位中国科学家的印象。,"[9, 11]",女,男
矮小女人补充说今天没带多钱。,"[2, 4]",女,男
爱赶潮流的女人，紧跟流行，乐此不疲。,"[5, 7]",女,男
爱花的，不一定是女人。,"[8, 10]",女,男
爱慕内衣专柜的试衣间，私密的小空间里局促地挤着两个女人。,"[25, 27]",女,男
爱情起始于对危险的痴迷，爱上大佬的女人，注定没有善终。,"[17, 19]",女,男
巴黎女人冲我竖起大拇指。,"[3, 5]",女,男
办公室里也总来卖年货的女人，双手提着黄酒、豆面、糕圈圈，一股乡土的味道。,"[11, 13]",女,男
被媒体赞誉为“中国最能打的女人”。,"[13, 15]",女,男
本来我想，十字绣和逛超市不一样，女人的手工，没有我的事。,"[16, 18]",女,男
比如，我们怎么理解一个人的幸福、一个女人的幸福？,"[18, 20]",女,男
表面看确乎像抢掠，马队汹涌而至，女人哀哀哭泣，可整体看来，非也，而是婚礼中的一个仪式，即抢掠模拟。,"[26, 28]",女,男
"病房里一共三张床,10号病床的位置在窗台边,住在这张床上的病人,是一个50岁左右的女人。","[41, 43]",女,男
不过，这女人令我佩服！,"[5, 7]",女,男
不过在采访中，民警还讲述了这起案件中的另一个故事，犯罪分子在遇到受害人之前，曾经想骗另外一个女人。,"[46, 48]",女,男
不仅是身材曼妙，穿的旗袍也是别具一格，烫金旗袍，带着宫廷皇家的氛围，将女人衬托得高贵大气。,"[35, 37]",女,男
不论是何方语种的东方女人，总体上说，共同之处是特别能干，且很能吃苦耐劳、任劳任怨。,"[10, 12]",女,男
不一会儿，从店门口走进一个年轻的女人。,"[16, 18]",女,男
不用说，一定跟女人有关。,"[8, 10]",女,男
操着外地口音的女人，身形健硕，往往一边在门口叫卖，一边转身回屋，顺手揪出一个正捣蛋的孩子打几下。,"[7, 9]",女,男
常言道，女人生孩子就意味着过鬼门关。,"[4, 6]",女,男
长途，白天加黑夜，一个女人那也太辛苦了吧。,"[12, 14]",女,男
沉默了一会，女人又开口说：“打那年你被我爹领回来，这么多年了，知道你是刀子嘴豆腐心”。,"[6, 8]",女,男
吃完饭，刷锅洗碗也向来都是女人的活。,"[13, 15]",女,男
出门在外的游子数算回家的日期，居家的女人们筹划该买的东西。,"[18, 20]",女,男
除了芬兰，像瑞典、挪威、冰岛这些纬度较高的北欧国家，“女人能顶半边天”就是现实。,"[27, 29]",女,男
除夕，女人都争着来烧一年中的头一炷香。,"[3, 5]",女,男
穿着整洁干净的女人们，把沙果洗几遍，拿快快的刀，将沙果切成薄厚适中的片，层层摆放在烈日下晒一天，吸进太阳味以后，在通风阴凉处晾干，然后就可以包装了。,"[7, 9]",女,男
"穿紫色棉鞋的是一位瘦弱苍白的老妇人,坐在轮椅上,被一个胖乎乎的年轻女人推着。","[33, 35]",女,男
创业难，女人创业更难。,"[4, 6]",女,男
村委会大楼前热闹非常，村里超市人来人往，球场上小伙子们龙腾虎跃，引来一阵阵喝彩声，露天舞场里舞曲悠扬，女人们在舞池里翩翩起舞，村里有了城里的感觉。,"[51, 53]",女,男
大概三个月前，我就收到样书，封面设计很好看，蓝色的封面，中间一个表情神秘的中国年轻女人。,"[41, 43]",女,男
大街上已有人开始穿上薄薄的大衣，女人有的穿上靴子，人们开始了一心向暖的日子。,"[16, 18]",女,男
待拿着蒲扇和小板凳的弄堂女人们上场，那婀娜的造型、那线条之美感，又营造出一份独有的慵懒与娴静，而景片适度的遮挡又制造出留白，使得这段群舞“气韵生动”。,"[12, 14]",女,男
但是再坚强的你也是个女人吧。,"[10, 12]",女,男
但我知道，每个女人心里都藏着一个远方。,"[7, 9]",女,男
但这样一个看似把世间事、情爱事都看透了的女人，在现实的爱情中却总是处在下风。,"[20, 22]",女,男
当地人应该是并不怎么外出就餐的，特别是女人。,"[35, 37]",女,男
当然，想要让锁骨发更加凸显气质的话，可以尝试二八分直发，有拉长脸型的效果，能把女人的妩媚优雅展现得淋漓尽致。,"[39, 41]",女,男
当然，这些重大活动，女人是不允许参与的，甚至，还是必须回避的。,"[10, 12]",女,男
导游解说这道高门槛是阻止女人进到堂前来的。,"[12, 14]",女,男
到底是东北大地，更能放养女人的直率和豪放。,"[12, 14]",女,男
等了半个多小时，女人下来了，把货往我手里一塞，不合适，不要了！,"[8, 10]",女,男
爹，您要是觉得日本女人好，我给您找个伴？,"[18, 20]",女,男
东方女人长年累月，为了事业，为了家庭，在默默地用自己的勤劳向世人证明自己。,"[2, 4]",女,男
抖落身上的鸡皮疙瘩，硬着头皮往下，那时候的自己俨然是一个诗人，是那种小女人气质的诗人，看着那些“万般皆下品，唯有爱情高”“爱情改变人”之类的言论，真是幼稚可笑。,"[35, 37]",女,男
都说女人要在婚姻里争口气，可实际情况真离了不见得过得就好。,"[2, 4]",女,男
对，这是我们中年女人最经常说的话。,"[9, 11]",女,男
对方见来的只是一个女人，不以为然，轻蔑地撇撇嘴角继续放牧。,"[9, 11]",女,男
对方像疯狗一样，这种人通常是懦夫，只敢打女人，但万一发起疯来也不一定。,"[20, 22]",女,男
对女人来说，心态好比吃得好更重要。,"[16, 18]",女,男
对一个家庭而言，家里有个勤快手巧的女人是多大的福气哟！,"[17, 19]",女,男
多少女人一日三餐算了又算，就怕自己多长出几斤肉来，影响看起来还算年轻的好身材？,"[2, 4]",女,男
而成熟的女人无论年龄多大，都应保持一颗年轻的心，对世界充满好奇，不断去探索未知领域，挖掘潜能。,"[4, 6]",女,男
而寒冷的冬天仅靠烧火做饭，炕还热不了，女人们便要在炕洞子里烧柴火。,"[19, 21]",女,男
而女人们之间的相互吐槽也不过是情绪的一种宣泄，实际上改变不了什么。,"[1, 3]",女,男
而是专注撩妹，壁咚、吻戏都有，伴有各种霸道总裁的台词，比如“女人，跟我讲话的时候能不能专心点”。,"[30, 32]",女,男
而在现实中，许多正规商家将目光更多投向女人和孩子，老人的需求未必会被重视。,"[19, 21]",女,男
而这些残羹剩饭，向来都是女人处理。,"[12, 14]",女,男
反观那些小气的“小女人散文”，作者温柔的目光，总盯着阳台上的花草、餐桌上的美食、孩子的笑靥，和城市商圈的夜景。,"[9, 11]",女,男
讽刺的是，这个故事里的女人，多数毁于爱情。,"[11, 13]",女,男
搞卫生、洗衣服、做饭都是女人做得好。,"[12, 14]",女,男
歌手留下了歌声，歌声从我的肩膀上划过去，我突然清楚地听到有人说，听歌的女人是个盲人。,"[35, 37]",女,男
各种惊心动魄，命悬一线而又死里逃生，女人的绝望和卑屈写到了极致。,"[18, 20]",女,男
宫斗戏里为何每个女人都斗得死去活来?,"[8, 10]",女,男
古芮国的女人身材如此高挑吗？,"[4, 6]",女,男
挂了电话，女人心里竟像卸了一个包袱，顿时轻松了。,"[5, 7]",女,男
果然是台湾女人，入得厨房，出得厅堂，从小的家训和素养。,"[5, 7]",女,男
过去的几个星期，我和一些非常漂亮的女人，度过了一生中最美好的时光。,"[17, 19]",女,男
孩子的话，让我感到很是意外，难怪那女人这么喜欢唱歌，原来通过唱歌，便化解了生活中的艰辛。,"[18, 20]",女,男
寒冬，透过教室的窗户，可以看到胡辣汤的热气和香味在女人的头顶上氤氲出一圈圈美好的仙雾。,"[25, 27]",女,男
好吧，女人说完，加了我微信，我把钱赔了。,"[3, 5]",女,男
好像不论任何时代的女人，都禁不住美容院的诱惑，只是，随着岁月变化，美容院已经不是当年的美容院了。,"[9, 11]",女,男
好像未免太委屈了那些中青年女人。,"[13, 15]",女,男
好友说，身为女人，家庭事业难以两全。,"[6, 8]",女,男
合着，这一切就得女人独自承受？,"[8, 10]",女,男
河水清澈见底，女人们常在河里洗衣服，孩子们在岸边拔猪草剜兔菜，或在水里洗澡摸鱼。,"[7, 9]",女,男
黑色素是女人的天敌，也是造成衰老的元凶。,"[4, 6]",女,男
很多女人被家暴，都是数次被打，打到自己忍受不了了才奋起反抗。,"[2, 4]",女,男
红桥边有一座茅草屋，茅草屋里住着一个五十多岁的女人。,"[23, 25]",女,男
红彤彤的太阳从山峰露出头，女人吆喝全家大扫除。,"[13, 15]",女,男
后来我知道了真相，许果然去找了那个女人。,"[17, 19]",女,男
后面写几次遇见，写流言，写恐怖，写不安，写女人的不知归处。,"[21, 23]",女,男
后一部审视女人在历史的家庭中扮演的角色，从生育机器、联姻工具，直到为了爱情而结合，这个历程也和“吻”的历史接近。,"[5, 7]",女,男
花布的盛行，极大满足了女人们对服饰美的追求，蓝灰黑的年代渐行渐远。,"[11, 13]",女,男
画面里一个异常愤怒的年轻女人，频频对着“画作”开枪，在木制或者金属结构的“画框”里，放着不同材质的颜料包，然后用熟石膏覆盖，再用步枪射击。,"[12, 14]",女,男
画上是个外国女人，非常好看，可是我画不好，大腿和膀子都太粗。,"[7, 9]",女,男
黄昏，斜斜的夕阳里，常有女人或孩子端着小鱼虾找寻买主，一路走一路颠，生怕盆里的小鱼小虾睡着了。,"[12, 14]",女,男
即便到了今天，石榴裙仍然是很多女人的选择。,"[15, 17]",女,男
记得小时候，一入伏，家家都要开始晒“伏酱”了，因为当时物质条件贫乏，蔬菜常常接不上季节，女人们就把晒酱看做生活中的一件大事。,"[44, 46]",女,男
加油，虽然不年轻但依旧努力的女人。,"[14, 16]",女,男
尖头鞋和萝卜裤似乎有种奇妙的化学反应，一方面能够藏起腿部线条的不足，另一方面适当地露出脚踝曲线，也更具女人味。,"[51, 53]",女,男
见有人来，女人笑着抬起头，说，你们随便看。,"[5, 7]",女,男
交班的时候，看见一位50多岁的女人在门外对我笑，笑得阳光灿烂的。,"[17, 19]",女,男
接下来，女人在心里计划着，这两天要去菜市场备些食材。,"[4, 6]",女,男
接着，女人转身离去，终于，开始了自己新的生活。,"[4, 6]",女,男
结果，报案后一调监控，发现是被一个女人偷走的。,"[17, 19]",女,男
结婚二十多年，这个家一直都是女人操持。,"[14, 16]",女,男
结了冰碴的河边，扎着绿头巾的女人，在漂洗一件干活穿的旧衣。,"[14, 16]",女,男
今年立冬那天路过这里，看到一群女人在树前面换装。,"[15, 17]",女,男
今天的女人似乎有选择的权利，但是你选择的时候，千万不要以为选项中有不付钱的午餐。,"[26, 28]",女,男
近日走访，记者深深感触到，这又是一位要强的女人。,"[21, 23]",女,男
尽管如此，因为一条酱烧青花鱼而令一个脆弱的女人错失了灵魂觉醒和自我拯救的事情，还是有点奇怪。,"[21, 23]",女,男
就像爱美的女人们走进名牌珠宝首饰店，走进衣服鞋帽店。,"[5, 7]",女,男
就像一个女人，到了不再要扮演一个美人的内心气候时。,"[4, 6]",女,男
就在这时，一个特别的身影出现了，一个女人推着一辆助力小轮车晃晃悠悠地停在了人行道上。,"[18, 20]",女,男
剧本太好玩了，四个女人的危机感是一种特别有意思的生活状态。,"[10, 12]",女,男
卷帘门一关一开，就能走出一个胸部挺拔、眼神灵动的女人。,"[24, 26]",女,男
看得如此入神，变成了那女人。,"[11, 13]",女,男
烤烘笼一般是老人、女人和小娃娃的专利。,"[9, 11]",女,男
可孩子们不管，还笑着爬上船去，船夫也不生气，岸边洗衣服的女人看到了也会咯咯咯地笑。,"[28, 30]",女,男
可怕可恨的是，有的女人自己也是这样给自己定位的――没有反对，没有抗争，有的只是心甘情愿、死心塌地遵照执行。,"[9, 11]",女,男
可我是女人，也学会了做几样菜。,"[3, 5]",女,男
可惜，女人的美梦太过短暂。,"[3, 5]",女,男
可以想象下，你要敢不起来，你那女人会不会怒目圆睁？,"[15, 17]",女,男
快下班时，女人一遍遍看表。,"[5, 7]",女,男
老温以为身正不怕影斜，从来没带别的女人进卧室来，床上绝对没有冒出这根头发的可能，可是，这怎么证明呢？,"[17, 19]",女,男
老张还要再说，女人已消失在茫茫夜色中了。,"[9, 11]",女,男
乐观、豁达、时光也打不倒一个真正爱美、爱生活、有态度的女人。,"[27, 29]",女,男
两个女人从心平气和，到据理力争，再到相互指责，最终不欢而散。,"[2, 4]",女,男
两个女人流不尽的眼泪，体重暴减。,"[2, 4]",女,男
两个女人一怨一寂，说不尽的苦闷。,"[2, 4]",女,男
两星期后的结果显示，其中两类广告点击率明显更高，那就是文案中出现了女人和狗。,"[33, 35]",女,男
另外有一句很难说出口的话：家里的活是大家的，为什么非要女人做呢？,"[27, 29]",女,男
另一类是在欲望的诱惑下，想占有各种不同姿色的女人。,"[22, 24]",女,男
陆地对我来说像是一艘过大的船、一个太漂亮的女人、一次过长的旅行、一首我无法演奏的音乐。,"[21, 23]",女,男
落在草地上的嫩叶和花瓣，仿佛睡着了的女人一般干净柔软。,"[18, 20]",女,男
矛盾多了，女人想到以前两人因忙而避孕，现在又因频繁吵架而生疏，开始心凉。,"[5, 7]",女,男
没有哪个女人不爱美，可是与健康相比，这些都是毛毛雨。,"[5, 7]",女,男
每个女人的心中，都有一座花园。,"[3, 5]",女,男
美丽是女人一生的事业。,"[3, 5]",女,男
美丽无价，做精致女人，宝黛与您不见不散。,"[8, 10]",女,男
民警也觉得不可思议，这些人专骗女人，不用露脸，只是在网上聊聊天，就一骗一个准，怎么做到的？,"[15, 17]",女,男
命运也许给不了你完美的生活，但是爱花的女人一定懂得爱，能给你一个花一般美丽的家！,"[19, 21]",女,男
某某女人只有丰满和骨感两种。,"[4, 6]",女,男
哪里会有女人盼望自己快快长到五十岁呢？,"[4, 6]",女,男
那个风姿优雅的法国女人，脸上绽开了阳光和鲜花般的微笑。,"[9, 11]",女,男
那个卖烤红薯的女人不爱说话，总是倚在大泥桶上取暖。,"[7, 9]",女,男
那个时候，能驾驭金色高跟鞋的女人得多摩登啊！,"[14, 16]",女,男
那年月，面对清汤寡水的苦日子，我们村里的女人们却给自家剪出了美好的生活。,"[20, 22]",女,男
那女人一直冷着的脸此时浅浅地漾了开来。,"[1, 3]",女,男
那时，村里的一些村民开始变了，原有的工作不好好干了、自己家的地也不好好种了，女人们逐渐穿戴蒙面罩袍，大街上、巴扎上人也少了，原来热闹的村子冷清了。,"[38, 40]",女,男
那是一个床笫间娇媚无限，上厅堂琴棋书画，登玉壁翩翩剑舞的仙子级完美女人。,"[33, 35]",女,男
难道，难道，这个女人是你的奖赏？,"[8, 10]",女,男
你说人这一辈子真是难啊，什么糟心事都能遇上，唉，这女人太可惜了！,"[26, 28]",女,男
"年轻女人手里拿着几张化验单,一边推着轮椅,一边和老妇人说着话。","[2, 4]",女,男
"牛粪堆下,女人们正捡拾着大块的牛粪,准备加热房间,开始做果酱面包。","[5, 7]",女,男
农村的园子里，花，只是一点儿点缀，就像女人的首饰，中看不中用的。,"[19, 21]",女,男
女人，你被年龄“安排”了吗？,"[0, 2]",女,男
女人，容易被一些抽象的东西迷惑。,"[0, 2]",女,男
女人，也可以无视疤痕么？,"[0, 2]",女,男
女人啊，创造幸福的人生要靠自己。,"[0, 2]",女,男
女人啊，你的名字不应该是“弱者”，因为生活只相信强者，不相信眼泪，只要坚定地追求自己的梦想，让自己优秀起来，成为强者，那么全世界都会为你让路！,"[0, 2]",女,男
女人把有破洞的睡衣装起来，说，做什么事都不能坑人嘛，要不我心里总不踏实。,"[0, 2]",女,男
女人不是全能的，我根本平衡不了。,"[1, 3]",女,男
女人穿着棉裤，上身穿着红秋衣。,"[0, 2]",女,男
女人当时就吓傻了，将家里的20多万现金全都拿出来。,"[0, 2]",女,男
女人的脸上、身上全是水，黄色的外卖服上全湿透了，水顺着发丝一滴一滴地落下来。,"[0, 2]",女,男
女人的两个孩子也加入了擦车的行列。,"[0, 2]",女,男
女人的身旁，是一个硕大的行李箱，孤零零地竖在那里。,"[0, 2]",女,男
女人的思想再开放，也不至于脱了衣服光着上身干活啊！,"[0, 2]",女,男
女人的消费秉性就是冲动、大方、盲目，也是最容易付费的一群人，以爱情婚姻等为主题的课程，肯定会越卖越火。,"[1, 3]",女,男
女人的眼睛生动起来，整张脸也妩媚起来了。,"[0, 2]",女,男
女人的一生如果只能拥有一件珠宝，那必定是珍珠。,"[0, 2]",女,男
女人的优势就是细心、耐心。,"[1, 3]",女,男
女人的嘴里嚼着口香糖，薄荷的香气时而冲破人墙遁入我的鼻子，让人清醒。,"[0, 2]",女,男
女人冬季养生多养肝。,"[0, 2]",女,男
女人冻得红红的鼻子，脸上有岁月的沧桑，似乎又有人生不遇的寂寞。,"[0, 2]",女,男
女人对待家暴一定要零容忍，不做沉默的羔羊。,"[0, 2]",女,男
女人夺过，将被子摁在船板上，厉声说：“被子湿了还能晒，人死了就死了”！,"[0, 2]",女,男
女人躲在房里拒见。,"[0, 2]",女,男
女人更生气，把钱都退了回去。,"[0, 2]",女,男
女人黑白间杂的头发长长地散落下来，梳子摔碎在地上。,"[0, 2]",女,男
女人回到家，片刻也没耽误，马上就开始行动了。,"[0, 2]",女,男
女人会更深情地爱，也会更决绝地走开。,"[0, 2]",女,男
女人就是花，中看不中用。,"[1, 3]",女,男
女人哭了，“好后悔离开爸，我想回家”，趴在桌上诉说婚后的种种委屈。,"[0, 2]",女,男
女人来跳舞，老人下象棋。,"[1, 3]",女,男
女人脸上终于露出了一丝笑意，所有的付出有了回报。,"[0, 2]",女,男
女人们，当最应该保护你的人想去害你的时候，你还有什么胜算呀？,"[0, 2]",女,男
女人们便带着全家在院子里点燃干稻草、番薯藤，长幼有序“跳火群”，让火的亮光驱走岁暮的寒气，开春崭新的生活定然红红火火。,"[0, 2]",女,男
女人们多是格子上衣蓝色裤子，每年能做两身衣服，就相当不错了。,"[0, 2]",女,男
女人们疯狂地能吃苦，腰间绑着几个塑料袋，几个馍，就能进山十天大半个月，用编织口袋装采集的木耳，困了就把塑料袋铺在地上，裹上大衣就睡一觉。,"[0, 2]",女,男
女人们很少再去拈针动线，新衣三年都穿不到，哪里用得着缝缝补补。,"[0, 2]",女,男
女人们聚在一起，聊得最多还是彼此家事。,"[0, 2]",女,男
女人们为新鲜的肉抹上盐、辣椒、花椒等配料。,"[0, 2]",女,男
女人们一辈子都乐意给心爱的人做鞋垫。,"[0, 2]",女,男
女人们在河边洗衣服的时候，也会对河水倾诉心声，只是河水急于远行，不愿意因为些许琐事而停下来。,"[0, 2]",女,男
女人们在墙边推着碾子，扯些家长里短的闲话。,"[0, 2]",女,男
女人们在闪光灯的包围中走上台，裸露的横向伤疤簇拥在橄榄枝和花蔓的造型中间。,"[0, 2]",女,男
女人们做着针线活，拉着家长里短，唠着那些陈谷子烂糜子的事。,"[0, 2]",女,男
女人呢，取出鞋垫绣花，或者靠着树身眯会儿。,"[0, 2]",女,男
女人扭身回到屋里，不管三七二十一，趴下身把嘴对着伤口，用力咂起来，一连唾了十多口血水。,"[1, 3]",女,男
女人泣不成声，一味用手背抹眼泪。,"[1, 3]",女,男
女人撒娇很可爱，也很暖心。,"[0, 2]",女,男
女人生完孩子身子虚，就用这酒来温补。,"[0, 2]",女,男
女人是一所学校，但我不是好学生。,"[0, 2]",女,男
女人收拾完碗筷，喂好猪，也抱着孩子，东家喊一声，西家捞一嗓的往澡堂去。,"[0, 2]",女,男
"女人睡醒了,第一个动作就是伸手摸手机。","[0, 2]",女,男
女人说，那不行，这么贵重的东西，我可不能收。,"[0, 2]",女,男
女人说，我不走，我不走又能怎么样呢？,"[0, 2]",女,男
女人天生爱美，却又不堪生活的重负。,"[0, 2]",女,男
女人听了，就欢喜出一脸甜甜的笑来，“你可真会说话，聊得有鼻子有眼儿的，好像是财神爷亲口告诉你的”。,"[1, 3]",女,男
女人先是下到头年秋天挖的菜窖里，把冬天吃剩下的白菜拿出来，把吃剩下的萝卜拿出来，挖菜窖的地方要腾出来种菜。,"[0, 2]",女,男
女人要付出，同时也要独立。,"[0, 2]",女,男
女人要给自己脸部做保养，我们生活的空间其实也是要做保养的。,"[0, 2]",女,男
女人一辈子不能只是忙于灶台、桌子，更应走出去，实现自己的价值，我没有那种年纪大了就坐等享福的心态。,"[1, 3]",女,男
女人与花，有剪不断的渊源，那清朗的悠远、浪漫的柔美、雅致的和谐，生生地炫疼了多少人的眼睛啊。,"[0, 2]",女,男
女人在感情上往往比较容易迷失和轻信，宁愿选择再相信对方一次。,"[6, 8]",女,男
女人在气头上，哪能轻易原谅。,"[0, 2]",女,男
女人总说感情最不可靠，却像陨石一样砸向一份感情。,"[0, 2]",女,男
朋友说：女人前半生为爱情，后半生为生活，我正好相反。,"[4, 6]",女,男
片中的暖色调总是伴随着女人的出场。,"[11, 13]",女,男
漆黑的夜空下，女人戴在头上的电筒将牛身下那对乳房投影在屋后高耸的山梁上。,"[7, 9]",女,男
其实，和女人穿衣打扮一样，每天都要花点小心思、每季都要添点新衣物。,"[48, 50]",女,男
前面的两个中年女人愉快地闲聊家常，不住地感叹，天暖了，真好啊！,"[7, 9]",女,男
前线和后方的女人，都把臭美这件事做得香喷喷的。,"[6, 8]",女,男
前些日子，我看咱们报纸“情感倾诉”版，就说过一个女人遭遇家暴的事，当时我也想来倾诉一下，但是不好意思，这次我是不得不来了，因为我不知道怎么选择了。,"[24, 26]",女,男
强调一下，我不是那种容易哭的女人，但看到大银幕上故事最后的结局，看到戴安娜，我都没意识到眼角有泪水。,"[14, 16]",女,男
巧手的女人们就会用面做出各种造型的馒头。,"[3, 5]",女,男
轻掠浅拂间，女人那一低头垂散下来的发间柔情，美丽得无法言说。,"[6, 8]",女,男
全巷子女人的眼泪，都让这事给勾出来了：秦嫂呀秦嫂，几十年的苦日子没能压弯你的腰，这回你可要挺住啊。,"[3, 5]",女,男
"然而,前一刻还对自己嘘寒问暖的“可爱女人”,这时却突然销声匿迹,电话打不通,微信也被拉黑。","[18, 20]",女,男
然而村里有一个小个子大叔播扬起簸篮，竟然有如女人一样的娴熟。,"[22, 24]",女,男
人类要想人丁兴旺，无外乎两条途径：一是延长女人的寿命，二是缩短生育周期。,"[21, 23]",女,男
人们伸长脖子看着，有心软的女人抹起了眼泪。,"[13, 15]",女,男
日头已过了头顶，阳光透过窗户亮亮地照进来，屋子清爽，院落整齐，女人绽开了笑脸。,"[31, 33]",女,男
如果不把自己的时间分给美容机构一些，可能就是对自己不负责任的女人。,"[30, 32]",女,男
如今，故乡已变成了一个苍老的女人。,"[14, 16]",女,男
如今，由于年轻力壮的当家人前两年因车祸去世，留下的三口人全是女人。,"[30, 32]",女,男
如今，在许多美国人的内心深处，美国仍然是一个“女人为家庭主妇”的社会。,"[23, 25]",女,男
如今这女人究竟扮演着什么角色？,"[3, 5]",女,男
撒娇的女人果真最好命？,"[3, 5]",女,男
撒娇的女人会好命吗？,"[3, 5]",女,男
三个女人从早上聊到下午，聊得嗨极了。,"[2, 4]",女,男
三个人围着桌子吃饭，偶尔抬头时我会看到女人脸上的残妆。,"[19, 21]",女,男
三十出头的女人，正吃着饭就放下筷子，带着哭腔说，“在医院怎么这么难熬”？,"[5, 7]",女,男
上世纪五六十年代外省女人少，将就一点儿，好跟广东人和亲。,"[11, 13]",女,男
身体的衰老已经让我很难受了，却又赶上我们公司效益不好，不停地裁员，大家人心惶惶的，而我作为一个48岁的中年女人，每一次上司找我谈话时我都如坐针毡，每一次裁员我时都胆战心惊。,"[53, 55]",女,男
生活无依无靠的女人和娃娃，也去背茶，让人揪心。,"[7, 9]",女,男
生活中不少女人都有出现下半身体寒的问题，这种情况多半与下半身的血液流通不够通畅有极大的关系。,"[5, 7]",女,男
十几个女人对于“买哪种花”“谁来与卖家联络”“怎样取花”等问题“叽叽喳喳”了一晚上，好不容易才下了订单。,"[3, 5]",女,男
实施抓捕时，帐篷内只有一个地铺，有一个女人坐在地铺上。,"[19, 21]",女,男
事实上，对于女人而言，不会整理衣柜，买再多的衣服都是浪费，因为总觉得衣橱里少一件衣服。,"[6, 8]",女,男
是啊，为家庭牺牲的，大家都默认应该是女人。,"[19, 21]",女,男
是不是很扎心，这就是中国女人的命运，一个被绑架的命运。,"[12, 14]",女,男
是和这样一个女人共度几个小时好，还是独自躺在舒适温暖的床上看碟，玩游戏好？,"[19, 21]",女,男
是一群五十多岁的女人，青春芳华已逝，可毕竟还没有到老年，抓住人生最后的辉煌，为自己拍下这个年龄阶段最漂亮的照片，留一份纪念，冷一点儿，也就算不得什么了吧，算得上是要风度，不要温度。,"[8, 10]",女,男
市井里的一个普通女人，在历史的漩涡里被折腾出一个时代的光影。,"[8, 10]",女,男
首先，女人爱洗澡、爱换衣服、爱干净是出了名的，不管出了多少汗，一洗就没味了。,"[3, 5]",女,男
书上说，女人应该戴头巾，穿罩袍，不应该抛头露面，更不能唱歌跳舞。,"[5, 7]",女,男
谁娶了这样的一个女人，也是好幸福。,"[8, 10]",女,男
谁让芬兰女人拥有太多令人羡慕的“第一”呢？,"[4, 6]",女,男
顺便插一句，做一个女人的吐槽对象是非常高风险的事情，最好的定位是做一个耐心倾听的垃圾桶，千万不要义愤填膺地出谋划策，劝离不劝合。,"[9, 11]",女,男
